"ID","Rating","NrOfVotes","Title"
186591,47,20,"Super Pitfall"
186596,32,8,"The Big Pro Wrestling!"
186610,61,43,"Tennis"
186619,64,14,"Tiger-Heli"
186634,68,60,"Hyper Olympic"
186636,69,20,"Tatakai no Banka"
186670,52,18,"Urban Champion"
186693,68,43,"Wild Gunman"
187405,95,1769,"Planescape: Torment"
188200,82,37,"Shiritsu Justice gakuen"
188211,74,85,"Street Fighter EX"
188924,72,557,"Muppets Treasure Island"
189110,84,109,"Star Trek: Judgment Rites"
189114,79,29,"Stonekeep"
189200,64,69,"Waterworld"
189538,88,1221,"Full Throttle"
189667,77,112,"The Lost Vikings"
190076,77,1166,"Tomb Raider III: Adventures of Lara Croft"
190381,72,16,"Enemy Zero"
190420,81,102,"Giants: Citizen Kabuto"
190424,62,12,"Gojira torêdjingu batoru"
190428,84,716,"Gran Turismo"
190573,64,242,"Mortal Kombat Mythologies: Sub-Zero"
190586,85,11,"Obsidian"
190588,84,719,"Oddworld: Abe's Oddysee"
190703,90,4294,"Resident Evil"
190804,64,121,"Star Wars: Masters of Teräs Käsi"
190838,80,2369,"Tomb Raider"
190839,81,1581,"Tomb Raider II"
191199,76,8,"In the 1st Degree"
191312,63,68,"9"
191392,87,57,"Rama"
191857,88,17,"Byzantine: The Betrayal"
192016,79,24,"The Feeble Files"
192205,69,82,"King's Quest VIII: Mask of Eternity"
192303,78,106,"Rokkuman DASH"
192372,80,21,"Normality"
192565,88,829,"Sam and Max Hit the Road"
192604,85,62,"Shivers"
193248,76,13,"Shark Jaws"
194044,75,30,"The Rocky Interactive Horror Show"
194376,91,4532,"Silent Hill"
195284,78,12,"Solar Eclipse"
195897,76,135,"MDK II"
196361,84,552,"Forgotten Realms: Baldur's Gate - Tales of the Sword Coast"
197364,89,783,"Civilization II"
197393,72,9,"The Dame Was Loaded"
199467,86,295,"Discworld"
199468,86,203,"Discworld II: Missing Presumed...!?"
200172,76,852,"Star Wars: Episode I - Racer"
201172,81,172,"Star Trek: Armada"
201698,63,27,"Johnny Mnemonic: The Interactive Action Movie"
201783,52,72,"Mortal Kombat: Special Forces"
201955,86,1686,"Nintendô ôru sutâ dairantô Sumasshu burazâzu"
202480,78,1509,"Mortal Kombat 3"
203441,91,1452,"Day of the Tentacle"
203701,81,2689,"Mortal Kombat"
203702,71,1021,"Mortal Kombat 4"
203703,82,2065,"Mortal Kombat II"
203704,81,1041,"Mortal Kombat Trilogy"
203945,75,116,"Star Trek: Deep Space Nine - The Fallen"
203946,83,394,"Star Trek Voyager: Elite Force"
204284,82,15,"Yume Koujou: Doki Doki Panic"
204287,68,170,"Donkey Kong Jr."
204291,72,627,"Dr. Mario"
204574,77,456,"Punch-Out!!"
204657,91,4027,"Super Mario 64"
204658,76,1093,"Super Mario Bros. 2"
204659,77,2163,"Super Mario Bros. 2"
204660,77,822,"Sûpâ Mario Rando"
204797,74,188,"Aladdin"
204798,75,684,"Aladdin"
205423,67,502,"South Park"
205425,41,35,"Star Trek: New Worlds"
205479,74,10,"Treasure Quest"
205894,85,284,"Dungeon Keeper"
205895,84,291,"Dungeon Keeper 2"
205973,92,4648,"GoldenEye 007"
206106,53,29,"M.C. Kids"
206161,79,29,"The Muppet CDROM: Muppets Inside"
206256,77,18,"Rudora no hihou"
206330,91,1430,"Super Metroid"
206583,76,335,"Batman"
206584,71,95,"Battle Arena Toshinden"
206594,78,110,"Bionic Commando"
206599,77,55,"Blaster Master"
206656,84,1183,"Kontora"
206766,79,17,"Gargoyle's Quest II"
206790,71,42,"Gun.Smoke"
206846,74,19,"Journey to Silius"
206895,83,78,"Little Nemo: The Dream Master"
206930,85,850,"Rockman 2: Dr. Wairî no nazo"
206931,81,601,"Rockman 3: Dr. Wairî no saigo!?"
206932,75,449,"Rockman 4: Aratanaru yabô!!"
207035,68,8,"Quantum Gate"
207046,87,66,"Realms of the Haunting"
207072,70,43,"SaGa Frontier"
207127,81,90,"Sutoraidâ Hiryô"
207153,86,2531,"Tetris"
207181,56,18,"Urban Runner"
207484,79,926,"Fainaru fantajî"
207485,70,445,"Fainaru fantajî II"
207486,77,387,"Fainaru fantajî III"
207487,84,1062,"Fainaru fantajî IV"
207488,79,711,"Fainaru fantajî V"
207701,87,3664,"Biohazard 3: Last Escape"
207706,68,6,"Romancing SaGa 2"
207707,70,7,"Romancing SaGa"
207708,83,10,"Romancing SaGa 3"
207714,69,31,"SaGa Frontier 2"
208097,88,209,"Discworld Noir"
208155,95,8071,"Fainaru fantajî VII"
208156,88,4556,"Fainaru fantajî VIII"
208174,88,475,"Fainaru fantajî takutikkusu"
208290,35,6,"Menace Beach"
208292,78,191,"Metoroido II: Samusu no fukki"
208331,78,94,"Mazâ"
208332,91,649,"Mother 2: Gîgu no gyakushuu"
208398,41,7,"Reibusu"
208650,85,240,"TRON 2.0"
208685,63,6,"Animaniacs Splat Ball"
208721,68,18,"Battle Arena Toshinden 3"
209342,57,18,"Spiritual Warfare"
210061,91,1916,"Final Fantasy VI"
210157,74,24,"Live a Live"
210611,72,32,"Chokobo reshingu"
210613,95,2291,"Chrono Trigger"
210644,86,25,"Detective Barbie: Mystery of the Carnival Caper"
210668,76,62,"Ehrgeiz"
210832,82,311,"Marvel Super Heroes vs. Street Fighter"
210833,83,510,"Marvel vs. Capcom: Clash of Super Heroes"
210910,71,601,"Pokemon sunappu"
211284,90,849,"Broken Sword: The Shadow of the Templars"
211381,79,8,"Galleon"
212002,86,604,"Broken Sword II: The Smoking Mirror"
212279,81,129,"King's Quest V: Absence Makes the Heart Go Yonder"
212448,83,952,"Prince of Persia"
212449,78,220,"Prince of Persia 2: The Shadow and the Flame"
212450,74,123,"Prince of Persia 3D"
212497,78,90,"Seiken densetsu"
212498,88,482,"Seiken densetsu 2"
212499,85,93,"Seiken densetsu 3"
212805,77,61,"Beavis and Butt-Head Do U."
213089,78,73,"Monty Python's Complete Waste of Time"
213090,73,1150,"The Meaning of Life"
213117,92,428,"The Neverhood"
213252,85,82,"Skullmonkeys"
213874,84,36,"Mech Commander"
214159,78,41,"Star Trek: Starfleet Command"
214855,75,94,"King's Quest II: Romancing the Throne"
214857,88,241,"King's Quest VI: Heir Today, Gone Tomorrow"
214938,84,1514,"Medal of Honor"
214960,64,59,"Monopoly Star Wars"
214963,75,844,"Mortal Kombat: Deadly Alliance"
214964,77,178,"Mortal Kombat Gold"
215207,65,33,"Star Wars: Episode I - The Gungan Frontier"
215208,67,854,"Star Wars: Episode I - The Phantom Menace"
215258,79,922,"Tomb Raider: The Last Revelation"
215465,68,160,"Ace Ventura"
215860,76,13,"The Hunchback of Notre Dame Topsy Turvy Games"
215926,87,740,"Legacy of Kain: Soul Reaver"
215934,75,45,"The Lion King: Timon and Pumbaa's Jungle Games"
216237,67,75,"Star Trek: Hidden Evil"
216267,79,7,"Tarzan Activity Center"
216568,76,75,"Beavis and Butt-Head in Virtual Stupidity"
217000,83,2342,"Resident Evil: Code: Veronica"
217057,83,604,"Soulcalibur"
217061,92,4563,"StarCraft"
217729,87,652,"Poketto Monsutâ Ao"
217730,88,668,"Poketto Monsutâ Gin"
217731,84,69,"Poketto Monsutâ Midori"
217732,87,989,"Poketto Monsutâ Pikachû"
217733,89,1861,"Poketto Monsutâ Aka"
217820,76,50,"Star Trek: The Next Generation Interactive Technical Manual"
217837,85,80,"Tachyon: The Fringe"
217905,67,44,"Zool"
218376,75,710,"Killer Instinct"
218907,61,14,"Crime Patrol"
219062,83,142,"Goosebumps: Escape from Horrorland"
219075,79,121,"Harvester"
219139,91,981,"The Longest Journey"
219364,74,444,"Turok: Dinosaur Hunter"
219485,66,54,"Aladdin's Math Quest"
219507,84,17,"Animaniacs Game Pack"
219595,73,128,"Clayfighter 63 1/3"
219709,76,37,"Goosebumps: Attack of the Mutant"
219771,74,460,"Hercules"
219823,72,24,"Hunchback of Notre Dame"
219843,75,53,"The Jungle Book"
219855,77,137,"Killer Instinct 2"
219875,72,16,"Lighthouse"
219893,90,115,"Lunar: Eternal Blue"
220148,82,12,"The Walt Disney World Explorer"
221003,67,14,"Barbie Riding Club"
221190,76,42,"Frankenstein: Through the Eyes of the Monster"
221338,81,158,"Leisure Suit Larry in the Land of the Lounge Lizards"
221339,81,119,"Leisure Suit Larry 6: Shape Up or Slip Out!"
221340,85,201,"Leisure Suit Larry 7: Love for Sail!"
221416,80,357,"Ms. Pac-Man"
221517,66,31,"Rocketeer"
221603,90,756,"Sûpâ Mario korekushon"
221604,85,1553,"Supa Mario Kato"
221605,80,482,"Sûpâ Mario rando 2: 6tsu no kinka"
221606,93,3229,"Super Mario World"
221670,81,1136,"Ultimate Mortal Kombat 3"
221693,78,174,"Wario Land: Super Mario Land 3"
221787,63,31,"101 Dalmatians: Escape from DeVil Manor"
221966,67,7,"Flash Traffic: City of Angels"
221977,81,41,"Freddy Pharkas, Frontier Pharmacist"
222365,77,31,"Silent Steel"
222407,87,1381,"Sûpâ Mario: Yosshî Airando"
222466,87,59,"Ultima VII Part Two: Serpent Isle"
222467,89,96,"Ultima VII: The Black Gate"
222468,73,66,"Ultima VIII: Pagan"
222469,68,73,"Ultima IX: Ascension"
222470,87,49,"Ultima Underworld II: Labyrinth of Worlds"
224637,94,1788,"Forgotten Realms: Baldur's Gate II - Shadows of Amn"
225931,72,28,"Hell: A Cyberpunk Thriller"
225966,79,563,"Forgotten Realms: Icewind Dale"
226243,83,182,"Omikron: The Nomad Soul"
228217,78,1233,"Dino Crisis"
228246,84,2562,"Duke Nukem 3D"
228756,79,1555,"Quake II"
228757,80,1580,"Quake III: Arena"
229339,78,564,"Diddy Kong Racing"
230336,66,7,"Invictus"
231278,85,306,"Blood Omen: Legacy of Kain"
232531,80,1600,"Biohazard Ø"
232532,56,337,"Biohazard: Gun Survivor"
233276,61,145,"Back to the Future Part III"
233601,81,1008,"Donkey Kong 64"
234202,88,2236,"Mario Kart 64"
234524,87,133,"Privateer"
234704,80,196,"Shadow Warrior"
234713,94,921,"Shenmue"
234819,88,39,"Strike Commander"
236521,76,25,"Mummy: Tomb of the Pharaoh"
238087,81,36,"Blue Chicago Blues"
238738,90,514,"Xenogears"
238971,71,348,"Evil Dead: Hail to the King"
239023,92,7931,"Half-Life"
239281,78,48,"CarnEvil"
239576,77,52,"Mad Dog McCree"
239961,85,88,"Seiken densetsu: Legend of Mana"
240726,72,20,"Micro Maniacs"
240921,78,65,"Spycraft: The Great Game"
241307,88,769,"Chrono Cross"
241385,87,1871,"Donkey Kong Country"
241985,85,1287,"Star Fox 64"
241986,71,220,"Star Wars: Episode I - Jedi Power Battles"
242391,73,817,"Crazy Taxi"
242419,87,1126,"Donkey Kong Country 2: Diddy's Kong Quest"
242420,80,749,"Donkey Kong Country 3: Dixie Kong's Double Trouble!"
243233,86,39,"Dust: A Tale of the Wired West"
243567,80,414,"Soldier of Fortune"
243896,85,177,"Fear Effect"
244587,76,108,"King's Quest: Quest for the Crown"
244588,78,94,"King's Quest III: To Heir Is Human"
244589,80,95,"King's Quest IV: The Perils of Rosella"
244654,86,68,"Rockman DASH 2"
244661,93,1910,"Monkey Island 2: LeChuck's Revenge"
244783,94,2479,"The Secret of Monkey Island"
244837,89,142,"Tenchi souzou"
244839,82,1526,"Terminator 2: Judgment Day"
244841,90,403,"Thief II: The Metal Age"
245097,81,1149,"Escape from Monkey Island"
245134,78,8,"Global Domination"
245138,86,623,"Gran Turismo 2"
245165,91,1276,"Indiana Jones and the Fate of Atlantis"
245166,80,230,"Indiana Jones and the Infernal Machine"
245511,71,10,"Tony Tough and the Night of Roasted Moths"
245563,86,227,"Wing Commander"
245564,86,149,"Wing Commander II: Vengeance of the Kilrathi"
245565,82,39,"Wing Commander: Secret Ops"
245840,81,19,"Clue: Parker Brothers Classic Detective Game"
246253,84,202,"Star Wars: X-Wing Alliance"
246614,76,630,"Fallout Tactics: Brotherhood of Steel"
246712,86,54,"Jagged Alliance: Deadly Games"
246867,71,60,"Power Rangers Lightspeed Rescue"
246902,80,66,"Run Like Hell"
246909,85,15,"Sanity, Aiken's Artifact"
247298,73,89,"Donald Duck Goin' Quackers"
247369,73,21,"G.I. Joe: A Real American Hero: The Atlantis Factor"
247477,85,519,"Soul Reaver 2"
247506,73,104,"Marble Madness"
247514,80,246,"Rockman X4"
247714,79,808,"Sonikku adobenchâ"
248048,78,3282,"Grand Theft Auto"
248606,74,222,"WWF SmackDown!"
248919,86,141,"Jackie Chan Stuntmaster"
249006,82,1029,"Metal Gear"
249007,67,41,"Snake's Revenge"
249008,91,7110,"Metal Gear Solid 2: Sons of Liberty"
249174,93,3425,"Super Mario Bros. 3"
249252,64,18,"Wolverine: Adamantium Rage"
249448,59,22,"Code Blue"
249510,89,3601,"Fainaru fantajî IX"
250236,82,36,"Bad Mojo"
250583,81,552,"Medal of Honor: Underground"
250641,86,40,"Panzer General"
251071,78,186,"Star Wars: The Empire Strikes Back"
251092,84,131,"Gaia gensouki"
251138,81,524,"Indiana Jones and the Last Crusade"
251285,86,302,"Myst III: Exile"
251322,71,14,"Smoke and Mirrors"
251413,79,436,"Star Wars"
251576,89,1263,"Alice"
252337,83,1603,"Command &amp; Conquer"
252338,86,2484,"Command &amp; Conquer: Red Alert 2"
252381,81,809,"Dino Crisis 2"
252431,86,103,"Fear Effect 2: Retro Helix"
253369,78,162,"Oddworld: Munch's Oddysee"
253480,64,45,"Pitfall 3-D: Beyond the Jungle"
253492,89,81,"Policenauts"
253749,84,1460,"Spyro the Dragon"
253777,85,115,"Beruseruku mireniamu farukon hen wasurebana no sho"
253823,67,1362,"Tomorrow Never Dies"
253879,88,284,"Vagrant Story"
253921,74,50,"Wacky Races"
254178,83,226,"Beneath a Steel Sky"
254415,69,25,"In Cold Blood"
254878,76,89,"X-Men: Mutant Academy"
255202,76,3157,"Grand Theft Auto 2"
255319,88,452,"The Legend of Dragoon"
255381,85,30,"Toron ni kobun"
255614,87,933,"Spyro 2: Ripto's Rage!"
255628,82,681,"Syphon Filter"
256407,76,56,"Star Trek: Invasion"
257229,84,25,"ToeJam &amp; Earl III: Mission to Earth"
257548,79,381,"Die Hard Trilogy"
257570,76,954,"Driver"
258522,86,2350,"Diablo"
258523,90,3236,"Diablo II"
258609,70,15,"Gekido"
258925,63,24,"Ridge Racer V"
258927,82,51,"R4: Ridge Racer Type 4"
258979,82,1157,"Spider-Man"
259025,83,467,"Syphon Filter 2"
259045,72,1115,"Tekken"
259046,76,1285,"Tekken 2"
259047,81,880,"Tekken Tag Tournament"
259103,86,1435,"Warcraft II: Tides of Darkness"
259104,89,2819,"Warcraft III: Reign of Chaos"
259110,69,110,"Xena: Warrior Princess"
260264,79,1509,"Puckman"
260393,67,21,"Star Trek: The Rebel Universe"
260523,68,182,"WWF Attitude"
260590,79,11,"Zoo Keeper"
260785,93,1008,"Akumajo Dracula X: Gekka no Yasokyoku"
260820,67,15,"Computer Space"
260831,87,1291,"Crash Team Racing"
260918,84,28,"Galerians"
261407,67,33,"Who Wants to Be a Millionaire?"
261539,71,93,"Army Men: Sarge's Heroes"
261692,75,120,"Fighting Force"
261792,86,77,"Legaia densetsu"
261889,86,513,"Parasite Eve"
262038,79,18,"Tetris Plus"
262451,84,171,"Grandia"
262629,77,19,"Misutâ Dorirâ"
262673,85,360,"Parasite Eve II"
262720,60,8,"RPG tsukuru 3"
262733,74,40,"Road Rash 3-D"
262734,78,37,"Road Rash: Jailbreak"
262820,81,157,"Tenchu 2"
262821,83,244,"Tenchu"
262889,69,167,"WWF War Zone"
262902,77,53,"Wip3out"
262903,77,112,"Wipeout"
262904,83,121,"Wipeout 2097"
262905,85,10,"Wipeout 3 Special Edition"
262906,81,33,"Wipeout Fusion"
263231,80,218,"Kontora Supirittsu"
263287,75,603,"Driver 2"
263291,75,75,"Duke Nukem: Land of the Babes"
263399,73,22,"Guevara"
263413,69,10,"Hagane"
263641,93,2317,"Zeruda no densetsu: Kamigami no toraifôsu"
263727,75,357,"Rockman 6: Shijô saidai no tatakai!!"
263897,54,9,"Pro Pinball: Big Race USA"
263899,68,25,"Pro Pinball: Timeshock!"
263941,76,131,"Road Rash"
264018,92,112,"Snatcher CD-ROMantic"
264040,68,73,"Star Wars: Force Commander"
264041,80,70,"Startropics"
264207,81,14,"Zoda's Revenge: Startropics II"
264208,77,257,"Zone of the Enders Z.O.E"
264535,64,66,"Die Hard Trilogy 2: Viva Las Vegas"
264563,78,32,"ECW: Anarchy Rulz"
264564,66,39,"ECW: Hardcore Revolution"
264790,91,2473,"Zeruda no densetsu: Mujura no kamen"
265795,88,965,"Spyro: Year of the Dragon"
265867,75,97,"Theme Park World"
266024,66,39,"WCW: Mayhem"
266026,79,300,"WWF SmackDown! 2: Know Your Role"
266239,70,119,"Alien: Resurrection"
266750,83,583,"Marvel vs. Capcom 2: New Age of Heroes"
266777,73,97,"The Mummy"
266909,67,6,"Rock 'Em Sock 'Em Robots"
267496,61,72,"Firefox"
267554,83,150,"Hogs of War"
267750,57,6,"Mike Tyson Boxing"
267786,89,515,"The Operative: No One Lives Forever"
267939,60,186,"South Park Rally"
267947,87,60,"Spy Fox: Dry Cereal"
268100,56,105,"007 Racing"
268189,74,71,"Bloody Roar"
268190,78,72,"Bloody Roar 2: Bringer of the New Age"
268197,64,37,"Blue Stinger"
268256,82,1778,"Devil May Cry"
268274,50,7,"Dyuru hêrozu"
268343,60,191,"The Grinch"
268425,80,28,"Lost Vikings 2"
268516,82,383,"Another World"
268583,78,212,"RoboCop vs. The Terminator"
268589,65,61,"Rugrats in Paris: The Movie"
268719,81,16,"Ultimate Fighting Championship"
268739,56,9,"Vanishing Point"
268761,68,1181,"The World Is Not Enough"
269357,78,281,"Forgotten Realms: Icewind Dale - Heart of Winter"
269576,76,21,"Ms. Pac-Man Maze Madness"
269682,75,71,"Pac-Man World"
269909,72,72,"Star Wars: Demolition"
269953,84,9,"Thayer's Quest"
270381,71,102,"Gauntlet Legends"
270581,81,56,"Power Stone 2"
270727,70,28,"Villains' Revenge"
270831,75,14,"Animorphs: Shattered Reality"
270977,82,12,"Grind Session"
271056,58,10,"Maximum Force"
271072,81,24,"Muppet Monster Adventure"
271073,85,40,"Muppet Race Mania"
271084,71,106,"Nightmare Creatures"
271085,74,48,"Nightmare Creatures II"
271111,87,1260,"Perfect Dark"
271232,77,809,"Tony Hawk's Pro Skater"
271233,81,1066,"Tony Hawk's Pro Skater 2"
271268,60,6,"Woody Woodpecker Racing"
271352,56,13,"Action Man: Operation Extreme"
271370,64,37,"Army Men 3D"
271371,62,27,"Army Men: Air Attack"
271372,72,26,"Army Men: Air Attack 2"
271373,66,39,"Army Men: Sarge's Heroes 2"
271374,71,18,"Army Men: World War"
271409,78,127,"Bugs Bunny: Lost in Time"
271442,82,19,"Chase the Express"
271450,77,12,"Danger Girl"
271453,71,43,"Dave Mirra Freestyle BMX"
271471,79,26,"The Dukes of Hazzard 2: Daisy Dukes It Out"
271472,66,26,"The Dukes of Hazzard: Racing for Home"
271509,86,193,"Flåklypa Grand Prix"
271566,87,82,"Interstate '76"
271747,77,328,"Rainbow Six"
271756,59,8,"Rising Zan: The Samurai Gunman"
271807,88,833,"Super Mario RPG: Legend of the Seven Stars"
271863,81,124,"Vigilante 8"
271864,81,77,"Vigilante 8: Second Offense"
272064,73,26,"Daria's Inferno"
272164,74,59,"Koudelka"
272180,68,12,"Mad Dog II: The Lost Gold"
272272,65,47,"Ready 2 Rumble Boxing"
272273,69,30,"Ready 2 Rumble Boxing: Round 2"
272306,73,35,"Star Trek: Starfleet Command: Volume II: Empires at War"
272423,64,117,"102 Dalmatians: Puppies to the Rescue"
